id;title;restricted
1e29f6d0-c9f6-45e2-ab0b-c7fc94bb1649;executive Account;false
b73f302f-7e4e-416b-9d10-95bfff626e2a;Hat paradigm maximize;false
219fb2ce-0174-4f39-a361-4001585c3705;Metical index Islands;false
a9341e96-1b76-4607-8b1b-9818b2af26e0;purple Centralized Gloves;false
2b3ac2e8-9485-492f-94c4-a7cc9a6a4cc9;Chips deposit orange;false
d321c605-c331-4dc6-a609-b64b970d3f11;Gorgeous;true
cb727703-d6e0-44fb-ad52-a3d08bb7baa2;Paradigm;true
883c1c89-a916-4bba-b42a-bd40a22b471d;Re-contextualized withdrawal;true
98f26144-3119-41ca-9cfd-b8fe68ded6ec;Cotton;true
d8f2e1b4-198c-4a6d-a83b-ac6f7568f2db;solution-oriented sensor;false
